,acura,aspiration,audi,bmw,cadillac,engine,honda,hyundai,infiniti,lexus,luxury,performance,price,sport,toyota,volkswagen
acura,0.0,0.0,1.5839948095658078,0.9471916256542459,1.7839091395611584,1.0123440663575207,2.859151628779001,0.7619794047852306,3.276368211365066,2.7996123613653494,1.5410057881680825,1.0326586630068355,0.8848433146684332,0.5479699325674647,0.7863283707276159,0.5629655291875975
aspiration,0.0,0.0,1.2722646310432568,1.6339869281045751,1.658374792703151,0.0,1.5686274509803921,0.0,0.0,0.0,0.0,1.1148272017837235,0.0,1.0787486515641855,0.0,0.0
audi,1.5839948095658078,1.2722646310432568,0.0,1.5404380581749237,2.0254959300191158,1.0845534559713008,0.8531656937584193,1.0080785327938373,2.1204410517387613,2.028746303555464,1.1042296797733928,0.9999404290808207,1.1737293293223667,1.2146215733260868,0.6361323155216285,2.157318287421175
bmw,0.9471916256542459,1.6339869281045751,1.5404380581749237,0.0,1.463271875914545,0.9000321440051432,0.5420991926182237,0.8839601414336227,1.2469900240798073,1.8547959724430314,0.9433962264150946,0.9836710603974033,1.1054535709500202,1.681578780379466,0.6449948400412797,0.639386189258312
cadillac,1.7839091395611584,1.658374792703151,2.0254959300191158,1.463271875914545,0.0,0.0815594160345812,0.585308750365818,1.223391240518718,2.9457973291437547,4.437273093989512,2.0651459682718487,0.5823724188422436,1.1899500220990717,0.24151089214123553,0.6546216286986122,0.5407743889249406
engine,1.0123440663575207,0.0,1.0845534559713008,0.9000321440051432,0.0815594160345812,0.0,0.8486017357762777,0.8958165367732689,1.0785159620362381,0.17722640673460346,0.5567584287039902,1.0965513460167773,0.4854550207251951,0.6896917608361186,0.3451251078515963,1.069137562366358
honda,2.859151628779001,1.5686274509803921,0.8531656937584193,0.5420991926182237,0.585308750365818,0.8486017357762777,0.0,1.4786242365798776,0.7739938080495355,1.2082670906200317,1.2430632630410654,0.7082431634861301,0.643172986734557,1.0279840091376355,2.662538699690402,1.381074168797954
hyundai,0.7619794047852306,0.0,1.0080785327938373,0.8839601414336227,1.223391240518718,0.8958165367732689,1.4786242365798776,0.0,1.1983510689291534,2.806084773297888,1.6496546035673783,0.27413783650419427,1.4314699329076264,0.8842202062001521,2.1570319240724762,0.7127583749109052
infiniti,3.276368211365066,0.0,2.1204410517387613,1.2469900240798073,2.9457973291437547,1.0785159620362381,0.7739938080495355,1.1983510689291534,0.0,5.808440018966334,1.2413108242303872,0.7334389485419234,0.3496782959677097,0.496792142167717,0.6925207756232686,0.9534706331045003
lexus,2.7996123613653494,0.0,2.028746303555464,1.8547959724430314,4.437273093989512,0.17722640673460346,1.2082670906200317,2.806084773297888,5.808440018966334,0.0,2.1417644059153496,0.542348368435325,1.1081696730899464,0.8746610688358263,3.129445234708393,0.7050528789659224
luxury,1.5410057881680825,0.0,1.1042296797733928,0.9433962264150946,2.0651459682718487,0.5567584287039902,1.2430632630410654,1.6496546035673783,1.2413108242303872,2.1417644059153496,0.0,3.78620559096359,0.9025658658185411,1.2212248885632289,0.6951340615690169,0.5742411812961443
performance,1.0326586630068355,1.1148272017837235,0.9999404290808207,0.9836710603974033,0.5823724188422436,1.0965513460167773,0.7082431634861301,0.27413783650419427,0.7334389485419234,0.542348368435325,3.78620559096359,0.0,1.104669322951981,1.0282386812568323,1.0561520859003697,0.945179584120983
price,0.8848433146684332,0.0,1.1737293293223667,1.1054535709500202,1.1899500220990717,0.4854550207251951,0.643172986734557,1.4314699329076264,0.3496782959677097,1.1081696730899464,0.9025658658185411,1.104669322951981,0.0,0.8846230400070769,0.4795588058985733,0.4951965930474398
sport,0.5479699325674647,1.0787486515641855,1.2146215733260868,1.681578780379466,0.24151089214123553,0.6896917608361186,1.0279840091376355,0.8842202062001521,0.496792142167717,0.8746610688358263,1.2212248885632289,1.0282386812568323,0.8846230400070769,0.0,1.4477942428887751,0.3517658646404953
toyota,0.7863283707276159,0.0,0.6361323155216285,0.6449948400412797,0.6546216286986122,0.3451251078515963,2.662538699690402,2.1570319240724762,0.6925207756232686,3.129445234708393,0.6951340615690169,1.0561520859003697,0.4795588058985733,1.4477942428887751,0.0,1.3729977116704803
volkswagen,0.5629655291875975,0.0,2.157318287421175,0.639386189258312,0.5407743889249406,1.069137562366358,1.381074168797954,0.7127583749109052,0.9534706331045003,0.7050528789659224,0.5742411812961443,0.945179584120983,0.4951965930474398,0.3517658646404953,1.3729977116704803,0.0
