,acura,aspiration,audi,bmw,cadillac,engine,honda,hyundai,infiniti,lexus,luxury,performance,price,sport,toyota,volkswagen
acura,0.0,0.0,0.8743651348803259,0.41988907116631513,1.2388257913619156,0.42453138266605706,1.9685962034216071,0.27213550170901096,2.49003984063745,1.4536448799397008,0.6389536194843268,0.4330504070673826,0.3630126419152547,0.19340115267086988,0.4717970224365695,0.12991512212021478
aspiration,0.0,0.0,6.361323155216285,4.901960784313726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audi,0.8743651348803259,6.361323155216285,0.0,1.1288230304844584,0.9494512171964604,0.5422767279856504,0.25445292620865134,0.45189727332137536,1.1997232266416678,1.065951447630837,0.45609486773248836,0.44678189384462197,0.5651289363403988,0.6381909961543846,0.26784518548279096,1.4935280451377366
bmw,0.41988907116631513,4.901960784313726,1.1288230304844584,0.0,0.8047995317529998,0.48216007714561243,0.20761245674740483,0.5625200900032143,0.6664946680426556,1.1128775834658189,0.42545320014798377,0.37707390648567124,0.625307070436375,0.9994288977727014,0.2063983488132095,0.23444160272804776
cadillac,1.2388257913619156,0.0,0.9494512171964604,0.8047995317529998,0.0,0.0815594160345812,0.17559262510974535,0.6796618002881767,1.7456576765296326,1.748016673389808,0.8448324415657562,0.08319605983460623,0.5666428676662246,0.0805036307137452,0.26184865147944486,0.3244646333549643
engine,0.42453138266605706,0.0,0.5422767279856504,0.48216007714561243,0.0815594160345812,0.0,0.34715525554484084,0.35832661470930754,0.4314063848144952,0.0,0.24744819053510675,0.6031032403092276,0.14937077560775236,0.10610642474401825,0.17256255392579814,0.4989308624376337
honda,1.9685962034216071,0.0,0.25445292620865134,0.20761245674740483,0.17559262510974535,0.34715525554484084,0.0,0.6428801028608163,0.30959752321981415,0.44515103338632744,0.39955604883462814,0.11804052724768835,0.2143909955781857,0.533028745478774,2.1052631578947367,0.5626598465473146
hyundai,0.27213550170901096,0.0,0.45189727332137536,0.5625200900032143,0.6796618002881767,0.35832661470930754,0.6428801028608163,0.0,0.4793404275716614,0.7384433613941812,1.1341375399525726,0.0,0.43566476218927763,0.6189541443401064,1.5818234109864828,0.3563791874554526
infiniti,2.49003984063745,0.0,1.1997232266416678,0.6664946680426556,1.7456576765296326,0.4314063848144952,0.30959752321981415,0.4793404275716614,0.0,4.030346135609293,0.2482621648460774,0.14668778970838467,0.04995404228110139,0.2129109180718787,0.23084025854108958,0.47673531655225015
lexus,1.4536448799397008,0.0,1.065951447630837,1.1128775834658189,1.748016673389808,0.0,0.44515103338632744,0.7384433613941812,4.030346135609293,0.0,0.6119326874043856,0.2711741842176625,0.4309548728683125,0.3498644275343305,2.1337126600284497,0.11750881316098709
luxury,0.6389536194843268,0.0,0.45609486773248836,0.42545320014798377,0.8448324415657562,0.24744819053510675,0.39955604883462814,1.1341375399525726,0.2482621648460774,0.6119326874043856,0.0,3.281378178835111,0.3868139424936605,0.7327349331379372,0.198609731876862,0.24610336341263328
performance,0.4330504070673826,0.0,0.44678189384462197,0.37707390648567124,0.08319605983460623,0.6031032403092276,0.11804052724768835,0.0,0.14668778970838467,0.2711741842176625,3.281378178835111,0.0,0.4951965930474398,0.4870604279637627,0.6160887167752156,0.5816489748436819
price,0.3630126419152547,0.0,0.5651289363403988,0.625307070436375,0.5666428676662246,0.14937077560775236,0.2143909955781857,0.43566476218927763,0.04995404228110139,0.4309548728683125,0.3868139424936605,0.4951965930474398,0.0,0.11057788000088462,0.11988970147464333,0.2475982965237199
sport,0.19340115267086988,0.0,0.6381909961543846,0.9994288977727014,0.0805036307137452,0.10610642474401825,0.533028745478774,0.6189541443401064,0.2129109180718787,0.3498644275343305,0.7327349331379372,0.4870604279637627,0.11057788000088462,0.0,1.0219724067450178,0.14070634585619812
toyota,0.4717970224365695,0.0,0.26784518548279096,0.2063983488132095,0.26184865147944486,0.17256255392579814,2.1052631578947367,1.5818234109864828,0.23084025854108958,2.1337126600284497,0.198609731876862,0.6160887167752156,0.11988970147464333,1.0219724067450178,0.0,0.6864988558352402
volkswagen,0.12991512212021478,0.0,1.4935280451377366,0.23444160272804776,0.3244646333549643,0.4989308624376337,0.5626598465473146,0.3563791874554526,0.47673531655225015,0.11750881316098709,0.24610336341263328,0.5816489748436819,0.2475982965237199,0.14070634585619812,0.6864988558352402,0.0
