word1,word2,lift_value
bmw,audi,1.1288230304844584
bmw,acura,0.41988907116631513
bmw,honda,0.20761245674740483
bmw,volkswagen,0.23444160272804776
bmw,infiniti,0.6664946680426556
bmw,cadillac,0.8047995317529998
bmw,toyota,0.2063983488132095
bmw,lexus,1.1128775834658189
bmw,hyundai,0.5625200900032143
bmw,price,0.625307070436375
bmw,sport,0.9994288977727014
bmw,engine,0.48216007714561243
bmw,performance,0.37707390648567124
bmw,luxury,0.42545320014798377
bmw,aspiration,0.4084967320261438
audi,acura,0.8743651348803259
audi,honda,0.25445292620865134
audi,volkswagen,1.4935280451377366
audi,infiniti,1.1997232266416678
audi,cadillac,0.9494512171964604
audi,toyota,0.26784518548279096
audi,lexus,1.065951447630837
audi,hyundai,0.45189727332137536
audi,price,0.5651289363403988
audi,sport,0.6381909961543846
audi,engine,0.5422767279856504
audi,performance,0.44678189384462197
audi,luxury,0.45609486773248836
audi,aspiration,0.6361323155216284
acura,honda,1.9685962034216071
acura,volkswagen,0.12991512212021478
acura,infiniti,2.49003984063745
acura,cadillac,1.2388257913619156
acura,toyota,0.4717970224365695
acura,lexus,1.4536448799397008
acura,hyundai,0.27213550170901096
acura,price,0.3630126419152547
acura,sport,0.19340115267086988
acura,engine,0.42453138266605706
acura,performance,0.4330504070673826
acura,luxury,0.6389536194843268
acura,aspiration,0.3320053120849934
honda,volkswagen,0.5626598465473146
honda,infiniti,0.30959752321981415
honda,cadillac,0.17559262510974535
honda,toyota,2.1052631578947367
honda,lexus,0.44515103338632744
honda,hyundai,0.6428801028608163
honda,price,0.2143909955781857
honda,sport,0.533028745478774
honda,engine,0.34715525554484084
honda,performance,0.11804052724768835
honda,luxury,0.39955604883462814
honda,aspiration,0.49019607843137253
volkswagen,infiniti,0.47673531655225015
volkswagen,cadillac,0.3244646333549643
volkswagen,toyota,0.6864988558352402
volkswagen,lexus,0.11750881316098709
volkswagen,hyundai,0.3563791874554526
volkswagen,price,0.2475982965237199
volkswagen,sport,0.14070634585619812
volkswagen,engine,0.4989308624376337
volkswagen,performance,0.5816489748436819
volkswagen,luxury,0.24610336341263328
volkswagen,aspiration,0.1811594202898551
infiniti,cadillac,1.7456576765296326
infiniti,toyota,0.23084025854108958
infiniti,lexus,4.030346135609293
infiniti,hyundai,0.4793404275716614
infiniti,price,0.04995404228110139
infiniti,sport,0.2129109180718787
infiniti,engine,0.4314063848144952
infiniti,performance,0.14668778970838467
infiniti,luxury,0.2482621648460774
infiniti,aspiration,0.5482456140350876
cadillac,toyota,0.26184865147944486
cadillac,lexus,1.748016673389808
cadillac,hyundai,0.6796618002881767
cadillac,price,0.5666428676662246
cadillac,sport,0.0805036307137452
cadillac,engine,0.0815594160345812
cadillac,performance,0.08319605983460623
cadillac,luxury,0.8448324415657562
cadillac,aspiration,0.41459369817578773
toyota,lexus,2.1337126600284497
toyota,hyundai,1.5818234109864828
toyota,price,0.11988970147464333
toyota,sport,1.0219724067450178
toyota,engine,0.17256255392579814
toyota,performance,0.6160887167752156
toyota,luxury,0.198609731876862
toyota,aspiration,0.21929824561403508
lexus,hyundai,0.7384433613941812
lexus,price,0.4309548728683125
lexus,sport,0.3498644275343305
lexus,engine,0.0
lexus,performance,0.2711741842176625
lexus,luxury,0.6119326874043856
lexus,aspiration,0.45045045045045046
hyundai,price,0.43566476218927763
hyundai,sport,0.6189541443401064
hyundai,engine,0.35832661470930754
hyundai,performance,0.0
hyundai,luxury,1.1341375399525726
hyundai,aspiration,0.22768670309653918
price,sport,0.11057788000088462
price,engine,0.14937077560775236
price,performance,0.4951965930474398
price,luxury,0.3868139424936605
price,aspiration,0.0
sport,engine,0.10610642474401825
sport,performance,0.4870604279637627
sport,luxury,0.7327349331379372
sport,aspiration,0.0
engine,performance,0.6031032403092276
engine,luxury,0.24744819053510675
engine,aspiration,0.0
performance,luxury,3.281378178835111
performance,aspiration,0.0
luxury,aspiration,0.15723270440251574
audi,bmw,1.1288230304844584
acura,bmw,0.41988907116631513
honda,bmw,0.20761245674740483
volkswagen,bmw,0.23444160272804776
infiniti,bmw,0.6664946680426556
cadillac,bmw,0.8047995317529998
toyota,bmw,0.2063983488132095
lexus,bmw,1.1128775834658189
hyundai,bmw,0.5625200900032143
price,bmw,0.625307070436375
sport,bmw,0.9994288977727014
engine,bmw,0.48216007714561243
performance,bmw,0.37707390648567124
luxury,bmw,0.42545320014798377
aspiration,bmw,0.4084967320261438
acura,audi,0.8743651348803259
honda,audi,0.25445292620865134
volkswagen,audi,1.4935280451377366
infiniti,audi,1.1997232266416678
cadillac,audi,0.9494512171964604
toyota,audi,0.26784518548279096
lexus,audi,1.065951447630837
hyundai,audi,0.45189727332137536
price,audi,0.5651289363403988
sport,audi,0.6381909961543846
engine,audi,0.5422767279856504
performance,audi,0.44678189384462197
luxury,audi,0.45609486773248836
aspiration,audi,0.6361323155216284
honda,acura,1.9685962034216071
volkswagen,acura,0.12991512212021478
infiniti,acura,2.49003984063745
cadillac,acura,1.2388257913619156
toyota,acura,0.4717970224365695
lexus,acura,1.4536448799397008
hyundai,acura,0.27213550170901096
price,acura,0.3630126419152547
sport,acura,0.19340115267086988
engine,acura,0.42453138266605706
performance,acura,0.4330504070673826
luxury,acura,0.6389536194843268
aspiration,acura,0.3320053120849934
volkswagen,honda,0.5626598465473146
infiniti,honda,0.30959752321981415
cadillac,honda,0.17559262510974535
toyota,honda,2.1052631578947367
lexus,honda,0.44515103338632744
hyundai,honda,0.6428801028608163
price,honda,0.2143909955781857
sport,honda,0.533028745478774
engine,honda,0.34715525554484084
performance,honda,0.11804052724768835
luxury,honda,0.39955604883462814
aspiration,honda,0.49019607843137253
infiniti,volkswagen,0.47673531655225015
cadillac,volkswagen,0.3244646333549643
toyota,volkswagen,0.6864988558352402
lexus,volkswagen,0.11750881316098709
hyundai,volkswagen,0.3563791874554526
price,volkswagen,0.2475982965237199
sport,volkswagen,0.14070634585619812
engine,volkswagen,0.4989308624376337
performance,volkswagen,0.5816489748436819
luxury,volkswagen,0.24610336341263328
aspiration,volkswagen,0.1811594202898551
cadillac,infiniti,1.7456576765296326
toyota,infiniti,0.23084025854108958
lexus,infiniti,4.030346135609293
hyundai,infiniti,0.4793404275716614
price,infiniti,0.04995404228110139
sport,infiniti,0.2129109180718787
engine,infiniti,0.4314063848144952
performance,infiniti,0.14668778970838467
luxury,infiniti,0.2482621648460774
aspiration,infiniti,0.5482456140350876
toyota,cadillac,0.26184865147944486
lexus,cadillac,1.748016673389808
hyundai,cadillac,0.6796618002881767
price,cadillac,0.5666428676662246
sport,cadillac,0.0805036307137452
engine,cadillac,0.0815594160345812
performance,cadillac,0.08319605983460623
luxury,cadillac,0.8448324415657562
aspiration,cadillac,0.41459369817578773
lexus,toyota,2.1337126600284497
hyundai,toyota,1.5818234109864828
price,toyota,0.11988970147464333
sport,toyota,1.0219724067450178
engine,toyota,0.17256255392579814
performance,toyota,0.6160887167752156
luxury,toyota,0.198609731876862
aspiration,toyota,0.21929824561403508
hyundai,lexus,0.7384433613941812
price,lexus,0.4309548728683125
sport,lexus,0.3498644275343305
engine,lexus,0.0
performance,lexus,0.2711741842176625
luxury,lexus,0.6119326874043856
aspiration,lexus,0.45045045045045046
