,acura,audi,bmw,cadillac,honda,hyundai,infiniti,lexus,toyota,volkswagen
acura,0.0,1.0264286365986437,0.566362002968518,1.2388257913619156,2.179517225216779,0.4354168027344175,2.7521492975466555,1.7766770754818564,0.5766408052002516,0.2165252035336913
audi,1.0264286365986437,0.0,1.272264631043257,1.297583330168496,0.3891632989073491,0.5909425881894909,1.5624302486496138,1.3066501616119937,0.3348064818534887,1.7977652395176456
bmw,0.566362002968518,1.272264631043257,0.0,1.1218417715344846,0.2768166089965397,0.6160934319082825,0.8599931200550395,1.3248542660307367,0.3353973168214654,0.3410059676044331
cadillac,1.2388257913619156,1.297583330168496,1.1218417715344846,0.0,0.292654375182909,0.9515265204034472,1.7456576765296326,2.958182062659675,0.3927729772191672,0.4326195111399524
honda,2.179517225216779,0.3891632989073491,0.2768166089965397,0.292654375182909,0.0,0.9643201542912244,0.3611971104231166,0.5087440381558028,2.291021671826625,0.7161125319693094
hyundai,0.4354168027344175,0.5909425881894909,0.6160934319082825,0.9515265204034472,0.9643201542912244,0.0,0.4793404275716614,1.6245753950671986,1.8694276675294796,0.3563791874554526
infiniti,2.7521492975466555,1.5624302486496138,0.8599931200550395,1.7456576765296326,0.3611971104231166,0.4793404275716614,0.0,4.504504504504505,0.3462603878116343,0.4767353165522501
lexus,1.7766770754818564,1.3066501616119937,1.3248542660307367,2.958182062659675,0.5087440381558028,1.6245753950671986,4.504504504504505,0.0,2.1337126600284497,0.3525264394829612
toyota,0.5766408052002516,0.3348064818534887,0.3353973168214654,0.3927729772191672,2.291021671826625,1.8694276675294796,0.3462603878116343,2.1337126600284497,0.0,0.8009153318077803
volkswagen,0.2165252035336913,1.7977652395176456,0.3410059676044331,0.4326195111399524,0.7161125319693094,0.3563791874554526,0.4767353165522501,0.3525264394829612,0.8009153318077803,0.0
